quadro,pergunta,variavel,id,condicao,tipo,mensagem
quadro11.json,Qual era o total de bovinos em 30/09/2017?,V14010101,personalizada,(V14010101 > 50 && (VW14060000 > 3 || VW14060000 < 0.2)) || V14010101 > 20000,alerta,Número de bovinos maior que o esperado ou relação de bovinos por área de pastagem em hectare diferente do esperado. Confirme com o produtor o total de bovinos e a área de pastagem.
quadro11.json,Vacas reprodutoras,V14090302,personalizada,V14090302 > V14010101,erro,Número de vacas não pode ser maior que o efetivo de bovinos.
quadro11.json,"Sim, em outro estabelecimento",V14040103,personalizada,V14040000 == 1 && V14040101 == 1 && V14040103 == 1,erro,Preencha pelo menos um dos campos.
quadro11.json,Qual foi o número de bovinos vendidos no período de 01/10/2016 a 30/09/2017?,V14130101,personalizada,V14130101 == 0 && V14130000 != 1,erro,Preencha o número de bovinos vendidos ou marque a opção que não houve venda de bovinos.
quadro11.json,Valor total de bovinos vendidos,V14130102,personalizada,V14130102 > 0 && VW14130100 < 80,alerta,"Valor de bovinos vendidos, abaixo do esperado. Confirme com o produtor o total de bovinos vendidos e o valor total desses animais."
quadro11.json,Valor total de bovinos vendidos,V14130102,personalizada,V14130102 > 0 && VW14130100 > 2000,alerta,Valor de bovinos vendidos acima do esperado. Confirme com o produtor o total de bovinos vendidos e o valor total desses animais.
quadro11.json,Matrizes e Reprodutores,V14130201,personalizada,V14130201 > 10 && (V14130201 / V14010101) > 0.3,alerta,Número de matrizes e reprodutores vendidos acima do esperado. Confirme esse número com o produtor.
quadro11.json,Matrizes e Reprodutores,V14130201,personalizada,(V14130201 + V14130301 + V14130401) == 0  && V14130000 != 1,erro,Preencha o número de bovinos vendidos ou marque a opção que não houve venda de bovinos.
quadro11.json,Valor total de matrizes e reprodutores vendidos,V14130202,personalizada,V14130201 > 0 && VW14130200 < 200,alerta,Valor de matrizes de bovinos vendidas abaixo do esperado. Confirme com o produtor o total de matrizes e o valor total das matrizes.
quadro11.json,Valor total de matrizes e reprodutores vendidos,V14130202,personalizada,V14130201 > 0 && VW14130200 > 20000,alerta,Valor de matrizes de bovinos vendidas acima do esperado. Confirme com o produtor o total de matrizes e o valor total das matrizes.
quadro11.json,"Cria, recria, engorda ou trabalho",V14130301,personalizada,V14130301 > 50 && (V14130301 / V14010101) > 0.6,alerta,"Número de bovinos vendidos para cria, recria, engorda ou trabalho acima do esperado. Confirme esse número com o produtor."
quadro11.json,"Valor total de cria, recria, engorda ou trabalho vendidos",V14130302,personalizada,V14130302 > 0 && VW14130300 < 200,alerta,"Valor de bovinos para cria, recria e engorda vendidos abaixo do esperado. Confirme com o produtor o total de animais para cria, recria e engorda vendidos e o valor total desses animais."
quadro11.json,"Valor total de cria, recria, engorda ou trabalho vendidos",V14130302,personalizada,V14130302 > 100000 && VW14130300 > 1500,alerta,"Valor de bovinos para cria, recria e engorda vendidos acima do esperado. Confirme com o produtor o total de animais para cria, recria e engorda vendidos e o valor total desses animais."
quadro11.json,Vendidos para abate,V14130401,personalizada,V14130401 > 50 && (V14130401 / V14010101) > 0.6,alerta,Número de animais vendidos para o abate acima do esperado. Confirme esse número com o produtor.
quadro11.json,Valor total de animais vendidos para o abate,V14130402,personalizada,V14130402 > 0 && VW14130400 < 80,alerta,Valor de bovinos vendidos para o abate abaixo do esperado. Confirme com o produtor o número e o valor total desses animais.
quadro11.json,Valor total de animais vendidos para o abate,V14130402,personalizada,V14130402 > 400000 && VW14130400 > 3000,alerta,Valor de bovinos vendidos para o abate acima do esperado. Confirme com o produtor o número e o valor total desses animais.
quadro11.json,Número de vacas ordenhadas,V14160101,personalizada,V14160101 > 5 && V14160101 > (1.5 * V14090302) && V14090302 > 0,alerta,Relação alta entre vacas ordenhadas e vacas existentes. confirme com o produtor o número de vacas existentes e ordenhadas.
quadro11.json,Leite produzido (Litros),V14160201,personalizada,V14160201 > 10000 && (V14160201 / V14160101) > 5000,alerta,Rendimento de leite por vaca acima do esperado. Confirme com o produtor o número de vacas ordenhadas e a quantidade de leite produzido.
quadro11.json,Leite produzido (Litros),V14160201,personalizada,V14160201 > 10000 && (V14160201 / V14160101) < 200,alerta,Rendimento de leite por vaca abaixo do esperado. Confirme com o produtor o número de vacas ordenhadas e a quantidade de leite produzido.
quadro11.json,Leite produzido (Litros),V14160201,personalizada,V14160201 > 0 && V14160101 == 0,erro,Leite produzido sem vacas ordenhadas. Confirme com o produtor o número de vacas ordenhadas.
quadro11.json,Leite produzido (Litros),V14160201,personalizada,V14160101 > 0 && VW14160000 > 8000,alerta,Rendimento de leite por vaca acima do esperado. Confirme com o produtor o número de vacas ordenhadas e a quantidade de leite produzido.
quadro11.json,Leite produzido (Litros),V14160201,personalizada,V14160101 > 0 && VW14160000 < 100,alerta,Rendimento de leite por vaca abaixo do esperado. Confirme com o produtor o número de vacas ordenhadas e a quantidade de leite produzido.
quadro11.json,Leite cru vendido (mesmo resfriado),V14160301,personalizada,V14160301 > V14160201,erro,Leite vendido maior que leite produzido. Confirme essas quantidades com o produtor e faça o acerto necessário.
quadro11.json,Preço médio do leite cru vendido,V14160401,personalizada,V14160401 > 0 && V14160401 > 3,alerta,Preço médio do litro do leite cru vendido acima do esperado. Confirme com o produtor o preço de venda de 1 litro de leite de vaca.
